owner,name,fullName,numberOfStars,country,language
tzutalin,labelImg,tzutalin/labelImg,8113,ca,Python
danialfarid,ng-file-upload,danialfarid/ng-file-upload,8028,ca,JavaScript
jonas,tig,jonas/tig,7990,ca,C
MarshallOfSound,Google-Play-Music-Desktop-Player-UNOFFICIAL-,MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-,7930,ca,JavaScript
dgryski,go-perfbook,dgryski/go-perfbook,7856,ca,
amsul,pickadate.js,amsul/pickadate.js,7639,ca,JavaScript
botpress,botpress,botpress/botpress,7537,ca,TypeScript
AnthonyCalandra,modern-cpp-features,AnthonyCalandra/modern-cpp-features,7348,ca,
lemire,simdjson,lemire/simdjson,7324,ca,C++
vdumoulin,conv_arithmetic,vdumoulin/conv_arithmetic,7161,ca,TeX
clauderic,react-sortable-hoc,clauderic/react-sortable-hoc,7082,ca,JavaScript
adambard,learnxinyminutes-docs,adambard/learnxinyminutes-docs,6791,ca,JavaScript
vladikoff,chromeos-apk,vladikoff/chromeos-apk,6782,ca,JavaScript
MagicStack,uvloop,MagicStack/uvloop,6166,ca,Python
jaredreich,notie,jaredreich/notie,6079,ca,JavaScript
trentm,node-bunyan,trentm/node-bunyan,5931,ca,JavaScript
rematch,rematch,rematch/rematch,5661,ca,JavaScript
chenyuntc,pytorch-book,chenyuntc/pytorch-book,5521,ca,Jupyter Notebook
plotly,plotly.py,plotly/plotly.py,5364,ca,Python
pirate,ArchiveBox,pirate/ArchiveBox,5317,ca,Python
SerpentAI,SerpentAI,SerpentAI/SerpentAI,5301,ca,Jupyter Notebook
garbles,why-did-you-update,garbles/why-did-you-update,5168,ca,JavaScript
Requarks,wiki,Requarks/wiki,5125,ca,Vue
jschr,bootstrap-modal,jschr/bootstrap-modal,5082,ca,JavaScript
david-gpu,srez,david-gpu/srez,5034,ca,Python
orangeduck,Cello,orangeduck/Cello,4937,ca,C
samvermette,SVPullToRefresh,samvermette/SVPullToRefresh,4901,ca,Objective-C
humphd,have-fun-with-machine-learning,humphd/have-fun-with-machine-learning,4777,ca,Python
christiannaths,Redacted-Font,christiannaths/Redacted-Font,4732,ca,HTML
Sonarr,Sonarr,Sonarr/Sonarr,4530,ca,C#
nicolashery,mac-dev-setup,nicolashery/mac-dev-setup,4402,ca,Shell
fabien-d,alertify.js,fabien-d/alertify.js,4344,ca,JavaScript
olado,doT,olado/doT,4313,ca,JavaScript
benfred,py-spy,benfred/py-spy,4241,ca,Rust
gitpoint,git-point,gitpoint/git-point,4227,ca,JavaScript
