owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
threepointone,glamor,threepointone/glamor,3268,"Bangalore, India",in,"JavaScript,HTML",JavaScript,849,https://api.github.com/users/threepointone,https://api.github.com/repos/threepointone/glamor/languages,https://api.github.com/repos/threepointone/glamor/contributors
sachinchoolur,lightGallery,sachinchoolur/lightGallery,3254,Bangalore,in,"JavaScript,CSS,HTML",JavaScript,391,https://api.github.com/users/sachinchoolur,https://api.github.com/repos/sachinchoolur/lightGallery/languages,https://api.github.com/repos/sachinchoolur/lightGallery/contributors
MindorksOpenSource,android-mvp-architecture,MindorksOpenSource/android-mvp-architecture,3180,"Gurgaon, India",in,Java,Java,257,https://api.github.com/users/MindorksOpenSource,https://api.github.com/repos/MindorksOpenSource/android-mvp-architecture/languages,https://api.github.com/repos/MindorksOpenSource/android-mvp-architecture/contributors
hindupuravinash,the-gan-zoo,hindupuravinash/the-gan-zoo,3107,New Delhi,in,Python,Python,265,https://api.github.com/users/hindupuravinash,https://api.github.com/repos/hindupuravinash/the-gan-zoo/languages,https://api.github.com/repos/hindupuravinash/the-gan-zoo/contributors
vicky002,AlgoWiki,vicky002/AlgoWiki,3028,Mumbai,in,"CSS,JavaScript,HTML",CSS,668,https://api.github.com/users/vicky002,https://api.github.com/repos/vicky002/AlgoWiki/languages,https://api.github.com/repos/vicky002/AlgoWiki/contributors
swapagarwal,swag-for-dev,swapagarwal/swag-for-dev,2874,"Bangalore, India",in,,,53,https://api.github.com/users/swapagarwal,https://api.github.com/repos/swapagarwal/swag-for-dev/languages,https://api.github.com/repos/swapagarwal/swag-for-dev/contributors
ragunathjawahar,android-saripaar,ragunathjawahar/android-saripaar,2866,"Chennai, India",in,Java,Java,386,https://api.github.com/users/ragunathjawahar,https://api.github.com/repos/ragunathjawahar/android-saripaar/languages,https://api.github.com/repos/ragunathjawahar/android-saripaar/contributors
vi3k6i5,flashtext,vi3k6i5/flashtext,2864,"Bangalore, India",in,Python,Python,88,https://api.github.com/users/vi3k6i5,https://api.github.com/repos/vi3k6i5/flashtext/languages,https://api.github.com/repos/vi3k6i5/flashtext/contributors
kirang89,pycrumbs,kirang89/pycrumbs,2741,"Chennai, Tamil Nadu, India",in,,,455,https://api.github.com/users/kirang89,https://api.github.com/repos/kirang89/pycrumbs/languages,https://api.github.com/repos/kirang89/pycrumbs/contributors
siddharthkp,bundlesize,siddharthkp/bundlesize,2739,"Bangalore, India",in,"JavaScript,HTML,CSS",JavaScript,494,https://api.github.com/users/siddharthkp,https://api.github.com/repos/siddharthkp/bundlesize/languages,https://api.github.com/repos/siddharthkp/bundlesize/contributors
Roshanjossey,first-contributions,Roshanjossey/first-contributions,2726,Bangalore,in,"JavaScript,CSS,HTML",JavaScript,15435,https://api.github.com/users/Roshanjossey,https://api.github.com/repos/Roshanjossey/first-contributions/languages,https://api.github.com/repos/Roshanjossey/first-contributions/contributors
sripathikrishnan,redis-rdb-tools,sripathikrishnan/redis-rdb-tools,2718,"Bangalore, India",in,Python,Python,301,https://api.github.com/users/sripathikrishnan,https://api.github.com/repos/sripathikrishnan/redis-rdb-tools/languages,https://api.github.com/repos/sripathikrishnan/redis-rdb-tools/contributors
shekhargulati,99-problems,shekhargulati/99-problems,2716,India,in,"Java,Scala,Haskell,Shell,Batchfile",Java,324,https://api.github.com/users/shekhargulati,https://api.github.com/repos/shekhargulati/99-problems/languages,https://api.github.com/repos/shekhargulati/99-problems/contributors
jarun,googler,jarun/googler,2667,"Bangalore, India",in,"Python,Shell,Roff,Makefile",Python,889,https://api.github.com/users/jarun,https://api.github.com/repos/jarun/googler/languages,https://api.github.com/repos/jarun/googler/contributors
jpuri,react-draft-wysiwyg,jpuri/react-draft-wysiwyg,2637,"New Delhi, India",in,"JavaScript,CSS,Shell",JavaScript,800,https://api.github.com/users/jpuri,https://api.github.com/repos/jpuri/react-draft-wysiwyg/languages,https://api.github.com/repos/jpuri/react-draft-wysiwyg/contributors
webkul,coolhue,webkul/coolhue,2629,India,in,"JavaScript,CSS,HTML",JavaScript,40,https://api.github.com/users/webkul,https://api.github.com/repos/webkul/coolhue/languages,https://api.github.com/repos/webkul/coolhue/contributors
princejwesley,Mancy,princejwesley/Mancy,2546,"Chennai, India",in,"JavaScript,CSS,HTML",JavaScript,679,https://api.github.com/users/princejwesley,https://api.github.com/repos/princejwesley/Mancy/languages,https://api.github.com/repos/princejwesley/Mancy/contributors
shovanch,fullstack-web-developer-path,shovanch/fullstack-web-developer-path,2401,"Kolkata, India",in,,,19,https://api.github.com/users/shovanch,https://api.github.com/repos/shovanch/fullstack-web-developer-path/languages,https://api.github.com/repos/shovanch/fullstack-web-developer-path/contributors
farizrahman4u,seq2seq,farizrahman4u/seq2seq,2360,"Kochi, India",in,Python,Python,378,https://api.github.com/users/farizrahman4u,https://api.github.com/repos/farizrahman4u/seq2seq/languages,https://api.github.com/repos/farizrahman4u/seq2seq/contributors
harjot-oberai,MusicDNA,harjot-oberai/MusicDNA,2354,"Chandigarh, India",in,Java,Java,449,https://api.github.com/users/harjot-oberai,https://api.github.com/repos/harjot-oberai/MusicDNA/languages,https://api.github.com/repos/harjot-oberai/MusicDNA/contributors
hemanth,awesome-pwa,hemanth/awesome-pwa,2321,India ,in,,,249,https://api.github.com/users/hemanth,https://api.github.com/repos/hemanth/awesome-pwa/languages,https://api.github.com/repos/hemanth/awesome-pwa/contributors
sharish,ShimmerRecyclerView,sharish/ShimmerRecyclerView,2296,"Chennai, India",in,Java,Java,55,https://api.github.com/users/sharish,https://api.github.com/repos/sharish/ShimmerRecyclerView/languages,https://api.github.com/repos/sharish/ShimmerRecyclerView/contributors
siddharthkp,cost-of-modules,siddharthkp/cost-of-modules,2193,"Bangalore, India",in,JavaScript,JavaScript,233,https://api.github.com/users/siddharthkp,https://api.github.com/repos/siddharthkp/cost-of-modules/languages,https://api.github.com/repos/siddharthkp/cost-of-modules/contributors
aritraroy,PatternLockView,aritraroy/PatternLockView,2187,"Bangalore, India",in,Java,Java,41,https://api.github.com/users/aritraroy,https://api.github.com/repos/aritraroy/PatternLockView/languages,https://api.github.com/repos/aritraroy/PatternLockView/contributors
vipulasri,Timeline-View,vipulasri/Timeline-View,2110,New Delhi,in,Java,Java,57,https://api.github.com/users/vipulasri,https://api.github.com/repos/vipulasri/Timeline-View/languages,https://api.github.com/repos/vipulasri/Timeline-View/contributors
kunalkapadia,express-mongoose-es6-rest-api,kunalkapadia/express-mongoose-es6-rest-api,2099,Mumbai,in,"JavaScript,Shell",JavaScript,436,https://api.github.com/users/kunalkapadia,https://api.github.com/repos/kunalkapadia/express-mongoose-es6-rest-api/languages,https://api.github.com/repos/kunalkapadia/express-mongoose-es6-rest-api/contributors
esoxjem,MovieGuide,esoxjem/MovieGuide,2078,New Delhi,in,Java,Java,279,https://api.github.com/users/esoxjem,https://api.github.com/repos/esoxjem/MovieGuide/languages,https://api.github.com/repos/esoxjem/MovieGuide/contributors
hasura,gitkube,hasura/gitkube,2070,Bangalore,in,"Go,Shell,Dockerfile,Makefile",Go,242,https://api.github.com/users/hasura,https://api.github.com/repos/hasura/gitkube/languages,https://api.github.com/repos/hasura/gitkube/contributors
jarun,Buku,jarun/Buku,2023,"Bangalore, India",in,"Python,Roff,HTML,Shell,Makefile,JavaScript",Python,1482,https://api.github.com/users/jarun,https://api.github.com/repos/jarun/Buku/languages,https://api.github.com/repos/jarun/Buku/contributors
amitshekhariitbhu,awesome-android-complete-reference,amitshekhariitbhu/awesome-android-complete-reference,2015,"New Delhi, India",in,Java,Java,266,https://api.github.com/users/amitshekhariitbhu,https://api.github.com/repos/amitshekhariitbhu/awesome-android-complete-reference/languages,https://api.github.com/repos/amitshekhariitbhu/awesome-android-complete-reference/contributors
Zomato,AndroidPhotoFilters,Zomato/AndroidPhotoFilters,2000,"Gurgaon, India",in,"Java,C++,Makefile",Java,29,https://api.github.com/users/Zomato,https://api.github.com/repos/Zomato/AndroidPhotoFilters/languages,https://api.github.com/repos/Zomato/AndroidPhotoFilters/contributors
InfyOmLabs,laravel-generator,InfyOmLabs/laravel-generator,1986,"Surat, India",in,"PHP,JavaScript,CSS",PHP,545,https://api.github.com/users/InfyOmLabs,https://api.github.com/repos/InfyOmLabs/laravel-generator/languages,https://api.github.com/repos/InfyOmLabs/laravel-generator/contributors
typelead,eta,typelead/eta,1975,Bangalore,in,"Haskell,Java,Pascal,Logos,C,Shell,C++,Batchfile,Nix,Dockerfile",Haskell,2671,https://api.github.com/users/typelead,https://api.github.com/repos/typelead/eta/languages,https://api.github.com/repos/typelead/eta/contributors
balsikandar,Android-Studio-Plugins,balsikandar/Android-Studio-Plugins,1948,"New Delhi, India",in,Java,Java,41,https://api.github.com/users/balsikandar,https://api.github.com/repos/balsikandar/Android-Studio-Plugins/languages,https://api.github.com/repos/balsikandar/Android-Studio-Plugins/contributors
webkul,micron,webkul/micron,1894,India,in,"CSS,JavaScript,HTML",CSS,27,https://api.github.com/users/webkul,https://api.github.com/repos/webkul/micron/languages,https://api.github.com/repos/webkul/micron/contributors
HarshilShah,DeckTransition,HarshilShah/DeckTransition,1850,"Mumbai, India",in,"Swift,Ruby,Objective-C,Shell",Swift,253,https://api.github.com/users/HarshilShah,https://api.github.com/repos/HarshilShah/DeckTransition/languages,https://api.github.com/repos/HarshilShah/DeckTransition/contributors
HarshilShah,NotchKit,HarshilShah/NotchKit,1827,"Mumbai, India",in,"Swift,Ruby,Objective-C",Swift,48,https://api.github.com/users/HarshilShah,https://api.github.com/repos/HarshilShah/NotchKit/languages,https://api.github.com/repos/HarshilShah/NotchKit/contributors
yadav-rahul,TastyToast,yadav-rahul/TastyToast,1811,"IIT Roorkee, Uttarakhand, India",in,Java,Java,67,https://api.github.com/users/yadav-rahul,https://api.github.com/repos/yadav-rahul/TastyToast/languages,https://api.github.com/repos/yadav-rahul/TastyToast/contributors
ganapativs,bttn.css,ganapativs/bttn.css,1753,"Bangalore, India",in,"CSS,JavaScript",CSS,224,https://api.github.com/users/ganapativs,https://api.github.com/repos/ganapativs/bttn.css/languages,https://api.github.com/repos/ganapativs/bttn.css/contributors
Matterwiki,Matterwiki,Matterwiki/Matterwiki,1720,"Bangalore, India",in,"JavaScript,CSS,HTML,Python",JavaScript,333,https://api.github.com/users/Matterwiki,https://api.github.com/repos/Matterwiki/Matterwiki/languages,https://api.github.com/repos/Matterwiki/Matterwiki/contributors
MindorksOpenSource,PRDownloader,MindorksOpenSource/PRDownloader,1708,"Gurgaon, India",in,Java,Java,217,https://api.github.com/users/MindorksOpenSource,https://api.github.com/repos/MindorksOpenSource/PRDownloader/languages,https://api.github.com/repos/MindorksOpenSource/PRDownloader/contributors
manrajgrover,halo,manrajgrover/halo,1707,"Bangalore, India",in,Python,Python,316,https://api.github.com/users/manrajgrover,https://api.github.com/repos/manrajgrover/halo/languages,https://api.github.com/repos/manrajgrover/halo/contributors
codef0rmer,angular-dragdrop,codef0rmer/angular-dragdrop,1702,"Navi Mumbai, India",in,JavaScript,JavaScript,229,https://api.github.com/users/codef0rmer,https://api.github.com/repos/codef0rmer/angular-dragdrop/languages,https://api.github.com/repos/codef0rmer/angular-dragdrop/contributors
Atyantik,react-pwa,Atyantik/react-pwa,1695,"Vadodara, Gujarat, India",in,JavaScript,JavaScript,354,https://api.github.com/users/Atyantik,https://api.github.com/repos/Atyantik/react-pwa/languages,https://api.github.com/repos/Atyantik/react-pwa/contributors
shyamseshadri,angularjs-book,shyamseshadri/angularjs-book,1694,"Navi Mumbai, India",in,"HTML,JavaScript,CSS",HTML,18,https://api.github.com/users/shyamseshadri,https://api.github.com/repos/shyamseshadri/angularjs-book/languages,https://api.github.com/repos/shyamseshadri/angularjs-book/contributors
pastelsky,bundlephobia,pastelsky/bundlephobia,1646,Bangalore,in,"JavaScript,CSS,Shell",JavaScript,265,https://api.github.com/users/pastelsky,https://api.github.com/repos/pastelsky/bundlephobia/languages,https://api.github.com/repos/pastelsky/bundlephobia/contributors
harjot-oberai,MaterialShadows,harjot-oberai/MaterialShadows,1645,"Chandigarh, India",in,Java,Java,60,https://api.github.com/users/harjot-oberai,https://api.github.com/repos/harjot-oberai/MaterialShadows/languages,https://api.github.com/repos/harjot-oberai/MaterialShadows/contributors
sachinchoolur,lightslider,sachinchoolur/lightslider,1640,Bangalore,in,"JavaScript,CSS,HTML",JavaScript,84,https://api.github.com/users/sachinchoolur,https://api.github.com/repos/sachinchoolur/lightslider/languages,https://api.github.com/repos/sachinchoolur/lightslider/contributors
janishar,PlaceHolderView,janishar/PlaceHolderView,1621,"Gurgaon, India",in,Java,Java,416,https://api.github.com/users/janishar,https://api.github.com/repos/janishar/PlaceHolderView/languages,https://api.github.com/repos/janishar/PlaceHolderView/contributors
chinchang,cta.js,chinchang/cta.js,1599,"Delhi, India",in,"JavaScript,HTML",JavaScript,47,https://api.github.com/users/chinchang,https://api.github.com/repos/chinchang/cta.js/languages,https://api.github.com/repos/chinchang/cta.js/contributors
