owner,name,fullName,numberOfStars,country,language
shu223,iOS-10-Sampler,shu223/iOS-10-Sampler,3360,jp,Swift
franciscop,server,franciscop/server,3351,jp,JavaScript
blueimp,JavaScript-MD5,blueimp/JavaScript-MD5,3345,jp,JavaScript
okmr-d,DOFavoriteButton,okmr-d/DOFavoriteButton,3294,jp,Swift
shu223,iOS8-Sampler,shu223/iOS8-Sampler,3253,jp,Objective-C
blueimp,Gallery,blueimp/Gallery,3232,jp,JavaScript
plouc,mozaik,plouc/mozaik,3229,jp,JavaScript
dekatotoro,SlideMenuControllerSwift,dekatotoro/SlideMenuControllerSwift,3216,jp,Swift
Clipy,Clipy,Clipy/Clipy,3169,jp,Swift
BrambleXu,pydata-notebook,BrambleXu/pydata-notebook,3127,jp,Jupyter Notebook
shu223,iOS7-Sampler,shu223/iOS7-Sampler,3013,jp,Objective-C
dtan4,terraforming,dtan4/terraforming,3001,jp,Ruby
yuin,gopher-lua,yuin/gopher-lua,2977,jp,Go
kittinunf,fuel,kittinunf/fuel,2977,jp,Kotlin
blueimp,Bootstrap-Image-Gallery,blueimp/Bootstrap-Image-Gallery,2963,jp,HTML
kishikawakatsumi,SpreadsheetView,kishikawakatsumi/SpreadsheetView,2953,jp,HTML
hhatto,autopep8,hhatto/autopep8,2949,jp,Python
franciscop,picnic,franciscop/picnic,2928,jp,CSS
mysticatea,npm-run-all,mysticatea/npm-run-all,2907,jp,JavaScript
jarun,Buku,jarun/Buku,2879,jp,Python
kishikawakatsumi,UICKeyChainStore,kishikawakatsumi/UICKeyChainStore,2857,jp,Objective-C
coteditor,CotEditor,coteditor/CotEditor,2818,jp,Swift
mooz,percol,mooz/percol,2786,jp,Python
SCENEE,FloatingPanel,SCENEE/FloatingPanel,2711,jp,Swift
tmk,tmk_keyboard,tmk/tmk_keyboard,2709,jp,C
shoheiyokoyama,Gemini,shoheiyokoyama/Gemini,2696,jp,Swift
gimite,web-socket-js,gimite/web-socket-js,2674,jp,JavaScript
yusugomori,DeepLearning,yusugomori/DeepLearning,2672,jp,Java
tantivy-search,tantivy,tantivy-search/tantivy,2670,jp,Rust
kaorun343,vue-property-decorator,kaorun343/vue-property-decorator,2618,jp,TypeScript
