owner,name,fullName,numberOfStars,location,country,languages,language,totalNumberOfCommits,ownerURL,languagesURL,contributorsURL
ritchieng,the-incredible-pytorch,ritchieng/the-incredible-pytorch,2709,Singapore,sg,,,342,https://api.github.com/users/ritchieng,https://api.github.com/repos/ritchieng/the-incredible-pytorch/languages,https://api.github.com/repos/ritchieng/the-incredible-pytorch/contributors
RichardKnop,machinery,RichardKnop/machinery,2485,Singapore,sg,"Go,Makefile",Go,863,https://api.github.com/users/RichardKnop,https://api.github.com/repos/RichardKnop/machinery/languages,https://api.github.com/repos/RichardKnop/machinery/contributors
path,android-priority-jobqueue,path/android-priority-jobqueue,2448,Singapore,sg,Java,Java,276,https://api.github.com/users/path,https://api.github.com/repos/path/android-priority-jobqueue/languages,https://api.github.com/repos/path/android-priority-jobqueue/contributors
zoonooz,ZFDragableModalTransition,zoonooz/ZFDragableModalTransition,2404,Singapore,sg,"Objective-C,Ruby",Objective-C,69,https://api.github.com/users/zoonooz,https://api.github.com/repos/zoonooz/ZFDragableModalTransition/languages,https://api.github.com/repos/zoonooz/ZFDragableModalTransition/contributors
cheeaun,life,cheeaun/life,2400,Singapore,sg,HTML,HTML,63,https://api.github.com/users/cheeaun,https://api.github.com/repos/cheeaun/life/languages,https://api.github.com/repos/cheeaun/life/contributors
cloudflare,backgrid,cloudflare/backgrid,2055,"San Francisco, London, Austin, Singapore",sg,"JavaScript,HTML,CSS",JavaScript,879,https://api.github.com/users/cloudflare,https://api.github.com/repos/cloudflare/backgrid/languages,https://api.github.com/repos/cloudflare/backgrid/contributors
secfigo,Awesome-Fuzzing,secfigo/Awesome-Fuzzing,1937,Singapore,sg,,,88,https://api.github.com/users/secfigo,https://api.github.com/repos/secfigo/Awesome-Fuzzing/languages,https://api.github.com/repos/secfigo/Awesome-Fuzzing/contributors
kentnguyen,KNSemiModalViewController,kentnguyen/KNSemiModalViewController,1797,Singapore,sg,"Objective-C,Ruby",Objective-C,227,https://api.github.com/users/kentnguyen,https://api.github.com/repos/kentnguyen/KNSemiModalViewController/languages,https://api.github.com/repos/kentnguyen/KNSemiModalViewController/contributors
lxcid,LXReorderableCollectionViewFlowLayout,lxcid/LXReorderableCollectionViewFlowLayout,1794,Singapore,sg,"Objective-C,Ruby",Objective-C,98,https://api.github.com/users/lxcid,https://api.github.com/repos/lxcid/LXReorderableCollectionViewFlowLayout/languages,https://api.github.com/repos/lxcid/LXReorderableCollectionViewFlowLayout/contributors
timoxley,functional-javascript-workshop,timoxley/functional-javascript-workshop,1727,"Brisbane, AU 䈋 Singapore",sg,JavaScript,JavaScript,345,https://api.github.com/users/timoxley,https://api.github.com/repos/timoxley/functional-javascript-workshop/languages,https://api.github.com/repos/timoxley/functional-javascript-workshop/contributors
