owner,name,fullName,numberOfStars,country,language
Homebrew,React-Perf-Devtool,Homebrew/React-Perf-Devtool,14046,,Ruby
mobxjs,CNTK,mobxjs/CNTK,14000,,JavaScript
ipython,axlsx,ipython/axlsx,13950,,Python
google,dropzone,google/dropzone,13901,,HTML
junegunn,peerflix,junegunn/peerflix,13837,,Go
sequelize,torrent-stream,sequelize/torrent-stream,13805,,JavaScript
diaspora,chromecasts,diaspora/chromecasts,13760,,Ruby
textmate,awesome-podcasts,textmate/awesome-podcasts,13748,,Objective-C++
mongodb,Toolkit,mongodb/Toolkit,13726,,C++
pytorch,s3_website,pytorch/s3_website,13714,,Python
facebookresearch,gtop,facebookresearch/gtop,13710,,C++
netty,fresco,netty/fresco,13551,,Java
NativeScript,zepto,NativeScript/zepto,13512,,TypeScript
google,vuex,google/vuex,13393,,C++
facebookresearch,electron,facebookresearch/electron,13334,,Python
brillout,xray,brillout/xray,13331,,
elixir-lang,teletype,elixir-lang/teletype,13255,,Elixir
jkbrzt,vim-mode,jkbrzt/vim-mode,13247,,Python
i0natan,apm,i0natan/apm,13241,,
GoogleChrome,foundation,GoogleChrome/foundation,13177,,
kilimchoi,awesome-incident-response,kilimchoi/awesome-incident-response,13111,,Ruby
react-bootstrap,tesseract.js,react-bootstrap/tesseract.js,13110,,JavaScript
Zeit,underscore,Zeit/underscore,13019,,JavaScript
interagent,RDVTabBarController,interagent/RDVTabBarController,13018,,
cocos2d,welcome-coordinator,cocos2d/welcome-coordinator,12994,,C++
keystonejs,VoxelSpace,keystonejs/VoxelSpace,12981,,JavaScript
git-tips,acf,git-tips/acf,12955,,JavaScript
Skylot,pdf-bot,Skylot/pdf-bot,12945,,Java
RubaXa,Hystrix,RubaXa/Hystrix,12912,,JavaScript
geekcompany,fmdb,geekcompany/fmdb,12897,,
storybooks,SwiftForms,storybooks/SwiftForms,12857,,JavaScript
oneuijs,MPParallaxView,oneuijs/MPParallaxView,12848,,JavaScript
wg,status-react,wg/status-react,12771,,C
GoThinkster,ocLazyLoad,GoThinkster/ocLazyLoad,12768,,
pingcap,AdversarialNetsPapers,pingcap/AdversarialNetsPapers,12729,,Go
google,LGButton,google/LGButton,12695,,
google,portainer,google/portainer,12605,,HTML
graphcool,You-Dont-Need-Javascript,graphcool/You-Dont-Need-Javascript,12587,,TypeScript
node-inspector,velocity,node-inspector/velocity,12573,,JavaScript
rollup,gitinspector,rollup/gitinspector,12567,,JavaScript
ageitgey,docker-cheat-sheet,ageitgey/docker-cheat-sheet,12518,,Python
Mashape,Android-Tips,Mashape/Android-Tips,12495,,Lua
ReactiveX,WaveLoadingView,ReactiveX/WaveLoadingView,12493,,Swift
iojs,spf13-vim,iojs/spf13-vim,12464,,JavaScript
sass,awesome-cpp,sass/awesome-cpp,12370,,Ruby
MengTo,ios8-ui-kit,MengTo/ios8-ui-kit,12363,,Swift
hyperapp,yii2,hyperapp/yii2,12326,,JavaScript
Realm,YouCompleteMe,Realm/YouCompleteMe,12326,,Objective-C
tootsuite,Functional-Programming,tootsuite/Functional-Programming,12245,,Ruby
jquery,lebab,jquery/lebab,12133,,JavaScript
Homebrew,tensorflow-tutorial,Homebrew/tensorflow-tutorial,12110,,
substack,highlight.js,substack/highlight.js,12059,,JavaScript
servo,AngularJSAuthentication,servo/AngularJSAuthentication,11993,,
letsencrypt,standard,letsencrypt/standard,11973,,Python
raywenderlich,FeSpinner,raywenderlich/FeSpinner,11929,,Swift
lukasz-madon,html5-device-mockups,lukasz-madon/html5-device-mockups,11910,,
Popmotion,Simple-Web-Server,Popmotion/Simple-Web-Server,11862,,JavaScript
SnapKit,react-motion,SnapKit/react-motion,11798,,Swift
axios,SecLists,axios/SecLists,11763,,JavaScript
oxford-cs-deepnlp-2017,android-selector-chapek,oxford-cs-deepnlp-2017/android-selector-chapek,11752,,
carthage,prest,carthage/prest,11724,,Swift
Developer-Y,SwipeStack,Developer-Y/SwipeStack,11710,,
ampproject,OnlineJudge,ampproject/OnlineJudge,11703,,JavaScript
SnapKit,osquery,SnapKit/osquery,11698,,Objective-C
phoenixframework,react-sortable-hoc,phoenixframework/react-sortable-hoc,11692,,Elixir
ReactiveX,DevArticles,ReactiveX/DevArticles,11612,,TypeScript
libgdx,ENSwiftSideMenu,libgdx/ENSwiftSideMenu,11593,,Java
onevcat,SwiftOCR,onevcat/SwiftOCR,11534,,Swift
openai,My-blog,openai/My-blog,11443,,Python
eslint,backbone,eslint/backbone,11434,,JavaScript
visionmedia,metasploit-framework,visionmedia/metasploit-framework,11434,,JavaScript
jtoy,prometheus,jtoy/prometheus,11366,,
capistrano,AspectFillFaceAware,capistrano/AspectFillFaceAware,11340,,Ruby
inconshreveable,books,inconshreveable/books,11330,,Go
sinatra,IBAnimatable,sinatra/IBAnimatable,11322,,Ruby
google,SwiftWeather,google/SwiftWeather,11322,,
playframework,Faker.js,playframework/Faker.js,11317,,Scala
google,DraggablePanel,google/DraggablePanel,11266,,Java
