owner,name,fullName,numberOfStars,country,language
JikeXueyuanWiki,tensorflow-zh,JikeXueyuanWiki/tensorflow-zh,2345,cn,TeX
oa414,objc-zen-book-cn,oa414/objc-zen-book-cn,2332,cn,Ruby
DreaminginCodeZH,Douya,DreaminginCodeZH/Douya,2313,cn,
rickytan,RTImageAssets,rickytan/RTImageAssets,2312,cn,Objective-C
ibireme,YYWebImage,ibireme/YYWebImage,2301,cn,Objective-C
alexazhou,VeryNginx,alexazhou/VeryNginx,2300,cn,HTML
litten,hexo-theme-yilia,litten/hexo-theme-yilia,2299,cn,CSS
pengjianbo,GalleryFinal,pengjianbo/GalleryFinal,2272,cn,Java
daimajia,AndroidViewHover,daimajia/AndroidViewHover,2263,cn,Java
NLPchina,ansj_seg,NLPchina/ansj_seg,2256,cn,Java
alibaba,jstorm,alibaba/jstorm,2236,cn,Java
mycolorway,simditor,mycolorway/simditor,2232,cn,JavaScript
jasonross,Nuwa,jasonross/Nuwa,2229,cn,Java
saiwu-bigkoo,Android-PickerView,saiwu-bigkoo/Android-PickerView,2226,cn,Java
H07000223,FlycoTabLayout,H07000223/FlycoTabLayout,2205,cn,Java
typcn,bilibili-mac-client,typcn/bilibili-mac-client,2200,cn,Objective-C
gavinkwoe,BeeFramework,gavinkwoe/BeeFramework,2197,cn,Objective-C
Draveness,DKNightVersion,Draveness/DKNightVersion,2187,cn,Objective-C
jianliaoim,talk-os,jianliaoim/talk-os,2179,cn,
leichunfeng,MVVMReactiveCocoa,leichunfeng/MVVMReactiveCocoa,2167,cn,Objective-C
luin,ioredis,luin/ioredis,2166,cn,JavaScript
ElemeFE,mint-ui,ElemeFE/mint-ui,2162,cn,Vue
lingoer,SwiftyJSON,lingoer/SwiftyJSON,2158,cn,Swift
android-cn,android-dev-cn,android-cn/android-dev-cn,2151,cn,
darknessomi,musicbox,darknessomi/musicbox,2149,cn,Python
ChenYilong,ParseSourceCodeStudy,ChenYilong/ParseSourceCodeStudy,2138,cn,Objective-C
pxb1988,dex2jar,pxb1988/dex2jar,2138,cn,Java
ma6174,vim,ma6174/vim,2128,cn,VimL
qinjx,30min_guides,qinjx/30min_guides,2124,cn,
liuxinyu95,AlgoXY,liuxinyu95/AlgoXY,2122,cn,TeX
chenshuo,muduo,chenshuo/muduo,2114,cn,C++
cuber,ngx_http_google_filter_module,cuber/ngx_http_google_filter_module,2107,cn,C
